player,player_id,season,posteam,full_player_name,position
M.Floyd,32013030-2d30-3032-3936-3338b45fbf5b,2016,NE,Michael Floyd,WR
M.Floyd,32013030-2d30-3032-3936-3338b45fbf5b,2017,MIN,Michael Floyd,WR
M.Floyd,32013030-2d30-3032-3936-3338b45fbf5b,2018,WAS,Michael Floyd,WR
M.Forte,32013030-2d30-3032-3631-3834b508ba36,2011,CHI,Matt Forte,RB
M.Forte,32013030-2d30-3032-3631-3834b508ba36,2012,CHI,Matt Forte,RB
M.Forte,32013030-2d30-3032-3631-3834b508ba36,2013,CHI,Matt Forte,RB
M.Forte,32013030-2d30-3032-3631-3834b508ba36,2014,CHI,Matt Forte,RB
M.Forte,32013030-2d30-3032-3631-3834b508ba36,2015,CHI,Matt Forte,RB
M.Forte,32013030-2d30-3032-3631-3834b508ba36,2016,NYJ,Matt Forte,RB
M.Forte,32013030-2d30-3032-3631-3834b508ba36,2017,NYJ,Matt Forte,RB
M.Gallup,32013030-2d30-3033-3437-3634de26c0e4,2018,DAL,Michael Gallup,WR
M.Gallup,32013030-2d30-3033-3437-3634de26c0e4,2019,DAL,Michael Gallup,WR
M.Gaskin,32013030-2d30-3033-3533-3131661f5b5b,2019,MIA,Miles Gaskin,RB
M.Gesicki,32013030-2d30-3033-3438-323951c99786,2018,MIA,Mike Gesicki,TE
M.Gesicki,32013030-2d30-3033-3438-323951c99786,2019,MIA,Mike Gesicki,TE
M.Gillislee,32013030-2d30-3033-3034-3333d8956421,2015,BUF,Mike Gillislee,RB
M.Gillislee,32013030-2d30-3033-3034-3333d8956421,2016,BUF,Mike Gillislee,RB
M.Gillislee,32013030-2d30-3033-3034-3333d8956421,2017,NE,Mike Gillislee,RB
M.Gillislee,32013030-2d30-3033-3034-3333d8956421,2018,NO,Mike Gillislee,RB
M.Gilyard,32013030-2d30-3032-3737-3030a83c6e08,2012,NYJ,Mardy Gilyard,WR
M.Gilyard,32013030-2d30-3032-3737-3030a83c6e08,2012,PHI,Mardy Gilyard,WR
M.Goodson,32013030-2d30-3032-3730-383093b12146,2011,CAR,Mike Goodson,RB
M.Goodson,32013030-2d30-3032-3730-383093b12146,2012,LV,Mike Goodson,RB
M.Goodson,32013030-2d30-3032-3730-383093b12146,2013,NYJ,Mike Goodson,RB
M.Goodwin,32013030-2d30-3033-3030-3638335382d4,2013,BUF,Marquise Goodwin,WR
M.Goodwin,32013030-2d30-3033-3030-3638335382d4,2014,BUF,Marquise Goodwin,WR
M.Goodwin,32013030-2d30-3033-3030-3638335382d4,2015,BUF,Marquise Goodwin,WR
M.Goodwin,32013030-2d30-3033-3030-3638335382d4,2016,BUF,Marquise Goodwin,WR
M.Goodwin,32013030-2d30-3033-3030-3638335382d4,2017,SF,Marquise Goodwin,WR
M.Goodwin,32013030-2d30-3033-3030-3638335382d4,2018,SF,Marquise Goodwin,WR
M.Goodwin,32013030-2d30-3033-3030-3638335382d4,2019,SF,Marquise Goodwin,WR
M.Gordon,32013030-2d30-3033-3231-343457f8448b,2015,LAC,Melvin Gordon,RB
M.Gordon,32013030-2d30-3033-3231-343457f8448b,2016,LAC,Melvin Gordon,RB
M.Gordon,32013030-2d30-3033-3231-343457f8448b,2017,LAC,Melvin Gordon,RB
M.Gordon,32013030-2d30-3033-3231-343457f8448b,2018,LAC,Melvin Gordon,RB
M.Gordon,32013030-2d30-3033-3231-343457f8448b,2019,LAC,Melvin Gordon,RB
M.Gray,32013030-2d30-3032-3938-373836b154a8,2013,CLE,MarQueis Gray,TE
M.Gray,32013030-2d30-3032-3938-373836b154a8,2014,BUF,MarQueis Gray,TE
M.Gray,32013030-2d30-3032-3938-373836b154a8,2014,MIN,MarQueis Gray,TE
M.Gray,32013030-2d30-3032-3938-373836b154a8,2015,BUF,MarQueis Gray,TE
M.Gray,32013030-2d30-3032-3938-373836b154a8,2016,MIA,MarQueis Gray,TE
M.Gray,32013030-2d30-3032-3938-373836b154a8,2017,MIA,MarQueis Gray,TE
M.Grice,32013030-2d30-3033-3039-39395d75b763,2014,ARI,Marion Grice,RB
M.Hall,32013030-2d30-3033-3330-3934949866ca,2017,ATL,Marvin Hall,WR
